termId,conceptId,currentText,originalCategory,taxonomyCategory,sourceFile,screenOrFeature,notes
ST3_0001,TERM_ST3_0001,Ты,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=21; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0002,TERM_ST3_0002,Кто-то,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=56; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0003,TERM_ST3_0003,Твои аргументы стали сильными.,Other,Status,AsyncScene/Web/conflict-old.js,dm_ui,line=59; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0004,TERM_ST3_0004,Аргументы ${n} стали сильными.,Other,Status,AsyncScene/Web/conflict-old.js,dm_ui,variables=n; line=60; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0005,TERM_ST3_0005,Твои аргументы стали мощными.,Other,Status,AsyncScene/Web/conflict-old.js,dm_ui,line=65; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0006,TERM_ST3_0006,Аргументы ${n} стали мощными.,Other,Status,AsyncScene/Web/conflict-old.js,dm_ui,variables=n; line=66; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0007,TERM_ST3_0007,Твои аргументы стали супермощными.,Other,Status,AsyncScene/Web/conflict-old.js,dm_ui,line=71; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0008,TERM_ST3_0008,Аргументы ${n} стали супермощными.,Other,Status,AsyncScene/Web/conflict-old.js,dm_ui,variables=n; line=72; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0009,TERM_ST3_0009,да/нет,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=126; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0010,TERM_ST3_0010,да-нет,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=126; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0011,TERM_ST3_0011,кто,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=128; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0012,TERM_ST3_0012,что,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=128; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0013,TERM_ST3_0013,где,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=130; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0014,TERM_ST3_0014,мест,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=130; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0015,TERM_ST3_0015,куда,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=130; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0016,TERM_ST3_0016,Да.,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=263; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0017,TERM_ST3_0017,Да?,Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=270; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0018,TERM_ST3_0018,"Да, думаю так.",Other,Status,AsyncScene/Web/conflict-old.js,general_interface,line=274; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1
ST3_0019,TERM_ST3_0019,"Ты отшил(а) ${opp ? opp.name : ""кого-то""}.",Other,Status,AsyncScene/Web/conflict-old.js,general_interface,"variables=opp ? opp.name : ""кого-то""; line=483; canonConcept=unmapped_inventory_term; STEP3_UI_TAXONOMY_V1"
