Key,ConceptId,CanonicalTermRU,CurrentTextOrVariant,SourceTermId,SourceFile,SourceKeyOrFunction,ComponentOrModule,ContextOrScreen,TriggerCondition,ReplacementTarget,Notes
CONCEPT_POINTS_CURRENCY__ST3_0020,CONCEPT_POINTS_CURRENCY,💰,Не хватает 💰.,ST3_0020,AsyncScene/Web/conflict-old.js,if,legacy-conflict,"economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=489
CONCEPT_POINTS_CURRENCY__ST3_0023,CONCEPT_POINTS_CURRENCY,💰,"Не хватает 💰, чтобы смыться от всех активных.",ST3_0023,AsyncScene/Web/conflict-old.js,uiCall,legacy-conflict,"economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=516
CONCEPT_POINTS_CURRENCY__ST3_0024,CONCEPT_POINTS_CURRENCY,💰,Ты смылся(ась) от всех активных за ${count} 💰. Чисто.,ST3_0024,AsyncScene/Web/conflict-old.js,uiCall,legacy-conflict,economy_toasts,dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=count; line=522
CONCEPT_POINTS_CURRENCY__ST3_0026,CONCEPT_POINTS_CURRENCY,💰,С тебя дернули 3 💰.,ST3_0026,AsyncScene/Web/conflict-old.js,clamp0,legacy-conflict,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=552
CONCEPT_POINTS_CURRENCY__ST3_0031,CONCEPT_POINTS_CURRENCY,💰,С тебя дернули 3 💰.,ST3_0031,AsyncScene/Web/conflict-old.js,clamp0,legacy-conflict,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=693
CONCEPT_POINTS_CURRENCY__ST3_0102,CONCEPT_POINTS_CURRENCY,💰,Токсик снял у тебя ${actual || cost} 💰. Все видели.,ST3_0102,AsyncScene/Web/conflict/conflict-core.js,toxicStealLine,conflict,"reports_cop_flow,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=actual || cost; line=1001
CONCEPT_POINTS_CURRENCY__ST3_0103,CONCEPT_POINTS_CURRENCY,💰,Бандит забрал у тебя ${amountActual} 💰. Все видели.,ST3_0103,AsyncScene/Web/conflict/conflict-core.js,line,conflict,"reports_cop_flow,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=amountActual; line=1057
CONCEPT_POINTS_CURRENCY__ST3_0105,CONCEPT_POINTS_CURRENCY,💰,Вы попытались забатлить ${name}. Это нарушение порядка. Штраф -${pen} 💰.,ST3_0105,AsyncScene/Web/conflict/conflict-core.js,dmTextRaw,conflict,"dm_ui,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=name|pen; line=1076
CONCEPT_POINTS_CURRENCY__ST3_0106,CONCEPT_POINTS_CURRENCY,💰,Нарушение порядка. За попытку вброса списан штраф -${pen} 💰.,ST3_0106,AsyncScene/Web/conflict/conflict-core.js,chatTextRaw,conflict,"chat_ui,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=pen; line=1077
CONCEPT_POINTS_CURRENCY__ST3_0113,CONCEPT_POINTS_CURRENCY,💰,Токсик снял у тебя 5 💰. Все видели.,ST3_0113,AsyncScene/Web/conflict/conflict-core.js,toxicStealLine,conflict,"reports_cop_flow,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=2411
CONCEPT_POINTS_CURRENCY__ST3_0138,CONCEPT_POINTS_CURRENCY,💰,Нарушение порядка. Штраф -${penalty} 💰.,ST3_0138,AsyncScene/Web/conflict/conflict-core.js,literal_at_line,conflict,economy_toasts,dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=penalty; line=3543
CONCEPT_POINTS_CURRENCY__ST3_0156,CONCEPT_POINTS_CURRENCY,💰,keep 1 💰,ST3_0156,AsyncScene/Web/conflict/conflict-economy.js,0,economy,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=1206
CONCEPT_POINTS_CURRENCY__ST3_0185,CONCEPT_POINTS_CURRENCY,💰,Не хватает 💰.,ST3_0185,AsyncScene/Web/data.js,battle_not_enough_points,root,"battle_ui,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=142
CONCEPT_POINTS_CURRENCY__ST3_0186,CONCEPT_POINTS_CURRENCY,💰,Свалить за взятку {X} 💰,ST3_0186,AsyncScene/Web/data.js,escape_button_label,root,"escape,price_caps,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ActionName; inventoryNotes=variables=X; line=144
CONCEPT_POINTS_CURRENCY__ST3_0187,CONCEPT_POINTS_CURRENCY,💰,Ты обучил(а) {student} аргументу {arg}. Цена: {cost} 💰.,ST3_0187,AsyncScene/Web/data.js,teach_sent_dm,root,"dm_ui,training_econ04,price_caps,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=student|arg|cost; line=145
CONCEPT_POINTS_CURRENCY__ST3_0308,CONCEPT_POINTS_CURRENCY,💰,"Cap: max REP на этой неделе. Пополните сверхпойнты, чтобы конвертировать в REP.",ST3_0308,AsyncScene/Web/data.js,rep,root,"respect_econ08,price_caps,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=311; forbiddenSynonymMapped=пойнты|P|сверхпойнты
CONCEPT_POINTS_CURRENCY__ST3_0309,CONCEPT_POINTS_CURRENCY,💰,"Cap: max Points на этой неделе. Используйте, пока не сбросили cap.",ST3_0309,AsyncScene/Web/data.js,points,root,"price_caps,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=312; forbiddenSynonymMapped=Points|P
CONCEPT_POINTS_CURRENCY__ST3_0717,CONCEPT_POINTS_CURRENCY,💰,💰 не пахнут,ST3_0717,AsyncScene/Web/data.js,literal_at_line,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=2407
CONCEPT_POINTS_CURRENCY__ST3_0730,CONCEPT_POINTS_CURRENCY,💰,💰 на стол,ST3_0730,AsyncScene/Web/data.js,literal_at_line,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=2420
CONCEPT_POINTS_CURRENCY__ST3_0737,CONCEPT_POINTS_CURRENCY,💰,Не прокает: мало 💰 на баттл.,ST3_0737,AsyncScene/Web/data.js,pointsLow,root,"battle_ui,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=2432
CONCEPT_POINTS_CURRENCY__ST3_0749,CONCEPT_POINTS_CURRENCY,💰,Засчитано. ${name} отмечен(а). +2 💰.,ST3_0749,AsyncScene/Web/data.js,reportOk,root,"reports_cop_flow,respect_econ08,economy_toasts,success_fail_states",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=name; line=2450
CONCEPT_POINTS_CURRENCY__ST3_0750,CONCEPT_POINTS_CURRENCY,💰,Фейл. Штраф: -5 💰.,ST3_0750,AsyncScene/Web/data.js,reportNo,root,"reports_cop_flow,respect_econ08,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=2451
CONCEPT_POINTS_CURRENCY__ST3_0763,CONCEPT_POINTS_CURRENCY,💰,Токсик снял у тебя ${cost} 💰. Все видели.,ST3_0763,AsyncScene/Web/data.js,toxicStealLine,root,"reports_cop_flow,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=cost; line=2476
CONCEPT_POINTS_CURRENCY__ST3_0765,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_0765,AsyncScene/Web/events.js,pushEconToastFromLogRef,events,"events_voting_crowd,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=270
CONCEPT_POINTS_CURRENCY__ST3_0766,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_0766,AsyncScene/Web/events.js,pushEconToastFromLogRef,events,"events_voting_crowd,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=299
CONCEPT_POINTS_CURRENCY__ST3_0767,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_0767,AsyncScene/Web/events.js,pushSystem,events,"events_voting_crowd,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=308
